Rk,TeamName_Clean,AdjEM,AdjO,AdjD,AdjT,Luck,SOS_AdjEM,SOS_OppO,SOS_OppD,NCSOS_AdjEM
231,Seattle,-6.19,97.9,104.1,69.0,-0.036000000000000004,-2.73,101.7,104.4,-3.37
232,Stony Brook,-6.31,94.7,101.1,66.7,-0.09,-3.1,100.1,103.2,2.35
233,Albany,-6.62,97.3,103.9,69.8,-0.079,-4.48,98.8,103.3,-3.77
234,Little Rock,-6.72,98.3,105.0,67.2,-0.04,-2.9,99.6,102.5,3.86
235,UNC Asheville,-6.74,100.7,107.5,68.5,-0.008,-5.35,99.3,104.7,-4.48
236,Western Carolina,-6.76,99.9,106.6,70.7,0.031,1.95,104.3,102.4,-3.74
237,Radford,-6.76,97.8,104.5,63.7,0.023,-4.43,100.0,104.4,8.18
238,Youngstown St.,-6.82,102.3,109.1,67.8,0.032,-3.83,101.9,105.8,-10.01
239,Longwood,-6.82,98.0,104.8,65.3,-0.025,-4.55,100.0,104.6,2.0
240,Prairie View A&M,-6.84,94.4,101.2,69.4,0.111,-14.4,92.9,107.3,6.58
241,Lipscomb,-7.06,100.6,107.7,66.3,0.024,-4.24,99.8,104.1,2.95
242,UNC Wilmington,-7.08,102.1,109.2,69.2,-0.122,-4.53,100.0,104.5,-2.06
243,Cal Baptist,-7.11,103.9,111.0,70.8,-0.016,-5.56,99.0,104.6,-9.89
244,UC San Diego,-7.11,101.2,108.3,70.0,0.023,4.51,103.2,98.7,4.51
245,Northern Colorado,-7.24,98.4,105.6,68.1,-0.004,-3.47,100.0,103.4,13.39
246,Stetson,-7.32,101.1,108.5,68.6,-0.013999999999999999,-3.28,101.0,104.3,8.0
247,Brown,-7.43,95.2,102.7,69.9,0.0,-99.0,0.0,200.0,-99.0
248,Niagara,-7.58,99.7,107.3,64.7,-0.040999999999999995,-5.87,96.4,102.2,10.37
249,Southern Miss,-7.6,93.2,100.8,67.7,-0.078,1.38,102.0,100.6,-5.89
250,Canisius,-7.65,99.1,106.8,70.8,0.057999999999999996,-5.68,95.8,101.5,-99.0
251,UT Arlington,-7.71,98.2,105.9,69.5,0.051,-2.85,99.6,102.5,13.05
252,Arkansas St.,-7.74,99.1,106.9,67.9,-0.040999999999999995,-3.74,99.2,103.0,8.13
253,Green Bay,-7.77,102.5,110.3,66.2,-0.042,-0.94,103.2,104.1,13.95
254,Long Beach St.,-8.07,97.0,105.1,74.0,-0.011000000000000001,-0.67,101.6,102.3,3.72
255,Boston University,-8.33,100.5,108.8,65.8,0.008,-1.8,102.5,104.3,-99.0
256,Portland St.,-8.36,92.4,100.7,69.5,-0.135,-3.96,100.3,104.3,6.72
257,Lafayette,-8.66,103.0,111.7,68.9,0.062,-8.63,96.5,105.2,-99.0
258,Sacramento St.,-8.89,101.8,110.7,65.5,-0.03,-0.74,102.3,103.0,3.29
259,IUPUI,-8.91,96.3,105.2,72.4,0.076,-2.28,102.1,104.3,-15.79
260,Cal St. Fullerton,-8.94,101.0,109.9,72.0,-0.044000000000000004,-1.43,101.5,102.9,-2.45
261,Samford,-9.27,96.4,105.7,72.9,-0.035,2.76,104.0,101.2,-3.6
262,American,-9.32,96.5,105.9,67.7,0.065,-1.28,101.1,102.3,-99.0
263,Tarleton St.,-9.42,96.7,106.1,64.6,-0.052000000000000005,-0.14,101.4,101.6,10.85
264,New Hampshire,-9.54,96.0,105.5,66.7,0.055999999999999994,-6.25,97.2,103.5,-4.26
